Id,User,Text
117,m_visuales,En el canal de youtube de @lasonrisdearturo tienes una colección de pictocanciones perfecta para entretener a los n… https://t.co/1TAyfpqd0V
118,Kaolack_Infos,"#Senegal #Kebetu 
#Coronavirus au #Sénégal : 104 nouveaux cas, 4 morts et 13 cas graves - https://t.co/1W0v5lshZP"
119,follabalcones,RT @follabalcones: 🚨 Otra más del coronatimo: Un parlamentario austriaco hace un test de COVID-8M a una Coca Cola en directo y da positivo!…
120,B1G_BAZ,@DHSCgovuk Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false posi… https://t.co/unq2RAuwpP
121,zazoomblog,Coronavirus nel Lazio il bollettino di oggi sabato 12 dicembre: 1.194 nuovi positivi (573 a Roma) e 41 decessi -… https://t.co/FKiEdrGsRX
122,lainealex83,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
123,MapCovid19,"Robert another great person lost to COVID-19 added by his children to the map.  ""My Dad was a Veteran, Husband, Fat… https://t.co/JbXRG8QWIA"
124,ric_bra74,RT @LucaGattuso: In questo grafico è possibile vedere la % di tamponi positivi sul totale di tamponi fatti in Italia. Oggi questo dato è to…
125,GHRnewsUK,"The White House says it expects the first #coronavirus #vaccines to be administered ""within days"" after they approv… https://t.co/5chvn0cF2S"
126,eltipografo,"Coronavirus: Rancagua y San Fernando las comunas con más casos nuevos https://t.co/w92dTJv7m4

#DiarioElTipógrafo… https://t.co/687YP6XkdQ"
127,bitcoinconnect,"PlayStation 5 teardown finds intense cooling system, custom SSD controller SEE MORE HERE ==&gt;… https://t.co/rvRROi3uVg"
128,Bot_Corona_V,"RT @dez_professor: ""Passo o Álcool Gel🧴 quando entro na Loja então não tem nenhum #Risco nem nenhum #Perigo da #COVID19 do #Coronavírus com…"
129,Bot_Corona_V,"RT @dez_professor: ""Passo o Álcool Gel🧴 quando entro na Loja então não tem nenhum #Risco nem nenhum #Perigo da #COVID19 do #Coronavírus com…"
130,PresciuttiSinda,"Aggiornamento Covid-19 Gualdo Tadino 12/12/2020
#insiemevinciamo #restiamouniti #coronavirus #covid_19 #italia… https://t.co/HUbft8kn72"
131,Liloulafilou,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
132,eleitaliana,"RT @you_trend: 🔴 #Coronavirus, 12/12/20

• Attualmente positivi: 684.848
• Deceduti: 64.036 (+649)
• Dimessi/Guariti: 1.076.891 (+24.728)
•…"
133,B1G_BAZ,@DrEricDing Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false pos… https://t.co/I0JTEW94dl
134,viralvideovlogs,"RT @dez_professor: ""Passo o Álcool Gel🧴 quando entro na Loja então não tem nenhum #Risco nem nenhum #Perigo da #COVID19 do #Coronavírus com…"
135,bitcoinconnect,PS5 launch was the biggest for any console in US history SEE MORE HERE ==&gt; https://t.co/8PTOFMzQGs  #GeForceRTX3090… https://t.co/vx9sSJuykB
136,dez_professor,"""Passo o Álcool Gel🧴 quando entro na Loja então não tem nenhum #Risco nem nenhum #Perigo da #COVID19 do… https://t.co/8gQwNBEZL4"
137,Lanf040264,"#Veneto #coronavirus: oggi oltre 5000 #contagi e 100 #Morti.

Ciò nonostante resta in #zonagialla.

Un suicidio, no… https://t.co/vo0KOK3iXi"
138,yarkn_gazi,"RT @bilio_muydunuz: Coğrafya kaderdir,

Ülkenin karantinaya girmesi önceleri, Amsterdam’da oluşan marijuana kuyrukları...

#CoronaVirus

 h…"
139,Arunsai_fanofrc,RT @Yeruvaka99: #RGV's #Coronavirus is an Outdated Thriller
140,sam_oputa,https://t.co/yywo4qMZop … … /   #link to my #BookBoost #willow  #SaturdayMorning  #SaturdayMotivation #WearAMask… https://t.co/oT5BOPgJY2
141,B1G_BAZ,@SkyNewsBreak Remember this is all bollocks! #Covid is measured using a flawed testing method that produces false p… https://t.co/kHCuiqeogP
142,PatriotFederal1,RT @citizen_8675309: #UnitedAirlines #coronavirus #COVID19 #Masks
143,_er0726,RT @Mediavenir: 🇨🇳 FLASH - La ville chinoise de #Dongning est confinée après la découverte d'un cas de la #COVID19. Tous les transports son…
