Id,User,Text
176,LALAZIOMIA,"Coronavirus, Fiorentina: Cesare Prandelli negativo a tre tamponi https://t.co/r7abNToacT #Calcio #coronavirus #covid lazio, sslazio"
177,BrainMomma,"If you have or have had #coronavirus, would you be willing ro share, if you know, how you likely contracted it? 

M… https://t.co/BLqS0nIZ6z"
178,_Talk2NICE,"We know #covid hasn’t been easy for the #olderadults in our lives. For example, 40% report a lack of companionship… https://t.co/MKh9nfGFAx"
179,wireless_step,RT @AbefromDet: “Honest with Abe” ep.3 (What do I think about the mask?)..... 😷🎩 #AbefromDET #detroitpodcaster #detroithiphop #michigan #po…
180,aqueenofseasons,We have made a tradition of going to see the Nutcracker every year. This year we can’t bc #covid but HE MADE ME THE… https://t.co/QI1ADp2Zth
181,HarlowCouncil,RT @ToddbrookLP: I was in the #Harlow Town Centre today and a minority but still too many people are acting as if #covid has gone away. IT…
182,kungfu5dragones,"Escuela de Kung-Fu 5 Dragones
En #Sabadell  y #Barcelona 
Clases para todas las Edades, al mejor precio… https://t.co/ofv1j7aEkY"
183,CR_1257,"RT @MichaelRapaport: If you have a platform of any kind and you have #Covid you MUST start sharing your story/situation ASAP!
Good/Bad or I…"
184,gloshospitals,RT @andreaclarke121: Waiting for my Covid swab @gloshospitals big shout out to the Orchard Centre team. The HCA who did my swab deserves a…
185,TabithaSukhai,Ahh people still lining up around the block for that false negative at @citymd - nice to see #covid19 #covid #citymd
186,Kundank34566914,RT @adgpi: #IndianNavy support to nations in the neighbourhood and areas beyond for Humanitarian Support and in particular during the #COVI…
187,alexferfer,RT @laloeluna: ¿Qué tipo de sistema inmunológico tiene @brizuela27_cone para dar positivo de #Covid el martes y negativo el viernes con 2 p…
188,heatherjane71,"@realDonaldTrump, you are a real POS!! So sick of you &amp; all of your brainwashed #COVID deniers. Sad someone like yo… https://t.co/O9lFbq9ybK"
189,Jlarlat1,RT @danbates_LGi: Today's regional #covid cases added. Graph shows last few days and the slowing downward trend in most regions but rising…
190,fernandopz93,RT @laloeluna: ¿Qué tipo de sistema inmunológico tiene @brizuela27_cone para dar positivo de #Covid el martes y negativo el viernes con 2 p…
191,Liberal151,Just DISGUSTING #covid #TrumpLiedAmericansDied https://t.co/GPKxxpmwEC
